Address,Parcel ID,Final Sale Price,Closing Date,Sale Status,Buyer Status,Purchaser Type,Program,Council District,Neighborhood,Latitude,Longitude,Location
12920 Greenview,22079783.,100.00,09/07/2017,Closed,Selected,,Side Lot,1,Schoolcraft Southfield,42.38369,-83.223046,"location
(42.38369, -83.223046)"
18446 Greenview,22080044.,100.00,03/19/2016,Closed,Selected,,Side Lot,1,Evergreen-Outer Drive,42.425538,-83.224906,"location
(42.425538, -83.224906)"
13588 Monte Vista,16044547.,100.00,10/20/2016,Closed,Selected,,Side Lot,7,Northwest Community,42.38716,-83.166224,"location
(42.38716, -83.166224)"
19473 Archdale,22071622.,100.00,07/22/2016,Closed,Selected,,Side Lot,2,Greenfield,42.434797,-83.217718,"location
(42.434797, -83.217718)"
5785 Iroquois,17007347.,100.00,09/29/2017,Closed,Selected,,Side Lot,5,Gratiot Town/Ketterring,42.383504,-83.013396,"location
(42.383504, -83.013396)"
5091 Iroquois,17007395.,100.00,06/04/2018,Closed,Selected,,Side Lot,5,Pingree Park,42.378591,-83.009833,"location
(42.378591, -83.009833)"
4457 Iroquois,17007433.,100.00,07/25/2015,Closed,Selected,Homebuyer,Side Lot,5,Pingree Park,42.374062,-83.00657,"location
(42.374062, -83.00657)"
4192 Seminole,17007674.,100.00,08/12/2015,Closed,Selected,,Side Lot,5,Pingree Park,42.372134,-83.005718,"location
(42.372134, -83.005718)"
12042 Wade,21006136.,100.00,04/05/2017,Closed,Selected,,Side Lot,4,Ravendale,42.401301,-82.984943,"location
(42.401301, -82.984943)"
12309 Cheyenne,22026263.,100.00,08/31/2015,Closed,Selected,,Side Lot,7,Pride Area Community,42.378956,-83.174897,"location
(42.378956, -83.174897)"
17207 Evergreen,22096227.,100.00,10/31/2017,Closed,Selected,,Side Lot,1,Holcomb Community,42.416752,-83.238577,"location
(42.416752, -83.238577)"
17201 Evergreen,22096228.,100.00,10/16/2017,Closed,Selected,,Side Lot,1,Holcomb Community,42.416656,-83.238573,"location
(42.416656, -83.238573)"
4692 Fairview,21042219.,100.00,06/27/2015,Closed,Selected,,Side Lot,4,West End,42.385669,-82.986658,"location
(42.385669, -82.986658)"
6200 Central,20004770.,100.00,07/25/2015,Closed,Selected,,Side Lot,6,Claytown,42.34081,-83.144462,"location
(42.34081, -83.144462)"
5831 Central,20004796.,100.00,10/06/2015,Closed,Selected,,Side Lot,6,Claytown,42.337444,-83.142419,"location
(42.337444, -83.142419)"
5405 Central,20004832.,100.00,06/26/2015,Closed,Selected,,Side Lot,6,Claytown,42.334084,-83.139948,"location
(42.334084, -83.139948)"
5065 Central,20004842.,100.00,10/12/2015,Closed,Selected,,Side Lot,6,Claytown,42.333154,-83.139275,"location
(42.333154, -83.139275)"
2618 Springwells,20005223.,100.00,07/25/2015,Closed,Selected,,Side Lot,6,Springwells,42.315156,-83.128632,"location
(42.315156, -83.128632)"
15745 Patton,22104495.,100.00,07/11/2015,Closed,Selected,,Side Lot,1,Brightmoor,42.405169,-83.244261,"location
(42.405169, -83.244261)"
15912 Tuller,16026857.,100.00,07/26/2016,Closed,Selected,,Side Lot,2,Fitzgerald/Marygrove,42.40917,-83.147138,"location
(42.40917, -83.147138)"
16182 Tuller,16026869.,100.00,02/21/2018,Closed,Selected,,Side Lot,2,Fitzgerald/Marygrove,42.411052,-83.147612,"location
(42.411052, -83.147612)"
2624 Springwells,20005224.,100.00,07/25/2015,Closed,Selected,,Side Lot,6,Springwells,42.315228,-83.128684,"location
(42.315228, -83.128684)"
