Address,Identifier,PID,URL1,URL2
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
 12929 Rosemont, 12929-rosemont, 9418127,buildingdetroit.org/properties/ 12929-rosemont- 9418127,buildingdetroit.org/properties/ 12929-rosemont-
