Address,Parcel ID,Final Sale Price,Closing Date,Sale Status,Buyer Status,Purchaser Type,Program,Council District,Neighborhood,Latitude,Longitude,Location
8341 Dexter,14006353.,1000.00,09/13/2017,Closed,Selected,Homebuyer,Own It Now,5,Petoskey-Otsego,42.363708,-83.113695,"location
(42.363708, -83.113695)"
8205 Dexter,14006364.,1000.00,06/29/2017,Closed,Selected,Homebuyer,Own It Now,5,Petoskey-Otsego,42.362478,-83.112872,"location
(42.362478, -83.112872)"
8732 Dennison,20009480.,5500.00,03/28/2017,Closed,Selected,Investor,Own It Now,6,Claytown,42.334817,-83.153005,"location
(42.334817, -83.153005)"
15241 Eastburn,21025807.,2300.00,01/05/2018,Closed,Selected,Homebuyer,Own It Now,3,Regent Park,42.445676,-82.964979,"location
(42.445676, -82.964979)"
12838 Caldwell,13014133.,5000.00,02/09/2017,Closed,Selected,Homebuyer,Own It Now,3,Buffalo Charles,42.412436,-83.046264,"location
(42.412436, -83.046264)"
1988 Clairmount,08002718.,1000.00,06/29/2016,Closed,Selected,Homebuyer,Own It Now,5,North LaSalle,42.376014,-83.101247,"location
(42.376014, -83.101247)"
6340 Morton,18002483.,4000.00,11/22/2017,Closed,Selected,Investor,Own It Now,6,Claytown,42.332801,-83.122638,"location
(42.332801, -83.122638)"
18035 Revere,13022753.,1000.00,10/25/2017,Closed,Selected,Homebuyer,Own It Now,3,Conant Gardens,42.426374,-83.06801,"location
(42.426374, -83.06801)"
15950 Chalfonte,22010540.,3000.00,05/23/2018,Closed,Selected,,Own It Now,1,Grand River-St Marys,42.399507,-83.203847,"location
(42.399507, -83.203847)"
6610 Moyes,18002523.,1000.00,07/13/2016,Closed,Selected,Homebuyer,Inventory,6,Claytown,42.332364,-83.125652,"location
(42.332364, -83.125652)"
1003 Green,18009099.,1300.00,09/08/2016,Closed,Selected,Homebuyer,,6,Central Southwest,42.304496,-83.114953,"location
(42.304496, -83.114953)"
19645 Chicago,22003899-901,3680.00,06/25/2018,Closed,Selected,,Own It Now,7,Franklin Park,42.36444,-83.234571,"location
(42.36444, -83.234571)"
7525 Mettetal,22060853.,1200.00,07/06/2017,Closed,Selected,Homebuyer,Own It Now,7,Warren Ave Community,42.347708,-83.205119,"location
(42.347708, -83.205119)"
15365 Parkside,12011583.,1100.00,07/06/2017,Closed,Selected,Homebuyer,Own It Now,2,Pilgrim Village,42.403969,-83.131667,"location
(42.403969, -83.131667)"
3103 Hammond,16015767-73,1300.00,05/23/2017,Closed,Selected,Homebuyer,Own It Now,6,Central Southwest,42.325254,-83.1134,"location
(42.325254, -83.1134)"
4964 Campbell,16014537.,1200.00,08/17/2016,Closed,Selected,Investor,Own It Now,6,Chadsey Condon,42.338478,-83.118972,"location
(42.338478, -83.118972)"
1081 Crawford,18007466.,3000.00,06/27/2017,Closed,Selected,Homebuyer,Own It Now,6,Central Southwest,42.30886,-83.107646,"location
(42.30886, -83.107646)"
3369 24th St,12008965.,3600.00,02/28/2017,Closed,Selected,Homebuyer,Own It Now,6,Chadsey Condon,42.334263,-83.094233,"location
(42.334263, -83.094233)"
14828 Lamphere,22116218.,1000.00,02/23/2017,Closed,Selected,Homebuyer,Own It Now,1,Brightmoor,42.395837,-83.261241,"location
(42.395837, -83.261241)"
15840 Princeton,12011002.,1500.00,03/22/2018,Closed,Selected,Investor,Own It Now,2,Pilgrim Village,42.408501,-83.128395,"location
(42.408501, -83.128395)"
4821 Maryland,21064406.,1400.00,03/09/2017,Closed,Selected,Homebuyer,Own It Now,4,Morningside,42.39687,-82.952124,"location
(42.39687, -82.952124)"
16076 Ellsworth,22010564.,1000.00,01/24/2018,Closed,Selected,Homebuyer,,1,Grand River-St Marys,42.400542,-83.206361,"location
(42.400542, -83.206361)"
3991 Beaconsfield,21066321.,2900.00,01/09/2018,Closed,Selected,Homebuyer,Own It Now,4,Morningside,42.391679,-82.945448,"location
(42.391679, -82.945448)"
5511 Nottingham,21066887.,1600.00,06/22/2018,Closed,Selected,,Own It Now,4,Morningside,42.402513,-82.951482,"location
(42.402513, -82.951482)"
945 King,05002942.,1000.00,03/02/2017,Closed,Selected,Homebuyer,,5,North End,42.384228,-83.070431,"location
(42.384228, -83.070431)"
15835 Kentucky,16036998.,1000.00,02/06/2018,Closed,Selected,,Own It Now,2,Fitzgerald/Marygrove,42.408426,-83.159159,"location
(42.408426, -83.159159)"
15839 Kentucky,16036997.,2700.00,06/01/2017,Closed,Selected,Investor,Own It Now,2,Fitzgerald/Marygrove,42.408522,-83.159164,"location
(42.408522, -83.159164)"
8086 Hubbell,22038693-4,1800.00,11/07/2016,Closed,Selected,Homebuyer,Own It Now,7,Joy-Schaefer,42.352402,-83.186599,"location
(42.352402, -83.186599)"
7282 Clayburn,22068368.,1200.00,11/22/2016,Closed,Selected,Investor,Own It Now,7,Warren Ave Community,42.344745,-83.21129,"location
(42.344745, -83.21129)"
8240 Greenview,22079664-5,1000.00,07/06/2017,Closed,Selected,Homebuyer,Own It Now,7,Warrendale,42.352955,-83.222016,"location
(42.352955, -83.222016)"
7465 14th St,10001181.002L,1400.00,04/14/2017,Closed,Selected,Homebuyer,Own It Now,5,LaSalle Gardens,42.364281,-83.096009,"location
(42.364281, -83.096009)"
7305 Cahalan,18000962.,1200.00,02/23/2017,Closed,Selected,Homebuyer,Own It Now,6,Springwells,42.309577,-83.120507,"location
(42.309577, -83.120507)"
1111 Waterman,18008226.,1900.00,08/23/2016,Closed,Selected,Homebuyer,Own It Now,6,Central Southwest,42.307872,-83.111227,"location
(42.307872, -83.111227)"
960 King,05002927.,1000.00,04/01/2016,Closed,Selected,Investor,Own It Now,5,North End,42.383941,-83.069857,"location
(42.383941, -83.069857)"
4883 Cabot,20007949.,7200.00,10/12/2017,Closed,Selected,Homebuyer,Own It Now,6,Claytown,42.327765,-83.148466,"location
(42.327765, -83.148466)"
2240 Clairmount,10002453.,1000.00,04/28/2017,Closed,Selected,Investor,Own It Now,5,North LaSalle,42.375044,-83.103859,"location
(42.375044, -83.103859)"
2292 Clairmount,10002446.,2000.00,08/08/2017,Closed,Selected,Homebuyer,Own It Now,5,North LaSalle,42.374743,-83.104669,"location
(42.374743, -83.104669)"
8576 Freeland,22035421.,2400.00,10/27/2016,Closed,Selected,Homebuyer,Own It Now,7,Joy-Schaefer,42.357203,-83.183231,"location
(42.357203, -83.183231)"
9201 Bedford,21070898.,1000.00,04/19/2016,Closed,Selected,Investor,Own It Now,4,Outer Drive-Hayes,42.411199,-82.947206,"location
(42.411199, -82.947206)"
9619 Everts,21072705.,1500.00,10/05/2016,Closed,Selected,Homebuyer,,4,Yorkshire Woods,42.414288,-82.945096,"location
(42.414288, -82.945096)"
9130 Kensington,21072871.,1200.00,07/14/2016,Closed,Selected,Investor,Own It Now,4,Yorkshire Woods,42.41445,-82.942201,"location
(42.41445, -82.942201)"
11860 Wayburn,21063651.,1000.00,04/04/2018,Closed,Selected,,Own It Now,4,Moross-Morang,42.426836,-82.94901,"location
(42.426836, -82.94901)"
9267 Grayton,21074129.,2500.00,03/09/2017,Closed,Selected,Homebuyer,Own It Now,4,Yorkshire Woods,42.416957,-82.942217,"location
(42.416957, -82.942217)"
