Address,Parcel ID,Program,Listing Date,Neighborhood,Council District,Latitude,Longitude,Location
9239 Grayton,21074133.,Auction,08/03/2018,Yorkshire Woods,4,42.416732,-82.941708,"location
(42.416732, -82.941708)"
9261 Grayton,21074130.,Auction,07/22/2018,Yorkshire Woods,4,42.416903,-82.942088,"location
(42.416903, -82.942088)"
15839 Fairmount Dr,21025442.001,Auction,08/05/2018,Regent Park,3,42.444975,-82.957696,"location
(42.444975, -82.957696)"
15919 E State Fair,21024574.,Auction,08/12/2018,Regent Park,3,42.443151,-82.956185,"location
(42.443151, -82.956185)"
16005 E State Fair,21024575-6,Auction,08/07/2018,Regent Park,3,42.443158,-82.955784,"location
(42.443158, -82.955784)"
8279 Kentucky,18015789.,Auction,07/24/2018,Barton-McFarland,7,42.355308,-83.156874,"location
(42.355308, -83.156874)"
8587 Northlawn,18014807.,Auction,07/27/2018,Barton-McFarland,7,42.357941,-83.152277,"location
(42.357941, -83.152277)"
8357 Roselawn,18014281.,Auction,08/15/2018,Barton-McFarland,7,42.356503,-83.150174,"location
(42.356503, -83.150174)"
10442 Merlin,21074861.,Auction,08/01/2018,Yorkshire Woods,4,42.420696,-82.940797,"location
(42.420696, -82.940797)"
20475 Greenlawn,16029682.,Auction,08/15/2018,Garden Homes,2,42.44457,-83.152644,"location
(42.44457, -83.152644)"
560 Hague,03002270.,Auction,07/29/2018,North End,5,42.381162,-83.071894,"location
(42.381162, -83.071894)"
14981 E State Fair,21024496.,Auction,07/22/2018,Regent Park,3,42.442915,-82.967238,"location
(42.442915, -82.967238)"
15225 E State Fair,21024510.,Auction,08/15/2018,Regent Park,3,42.442966,-82.965206,"location
(42.442966, -82.965206)"
15600 Bringard Dr,21026007.,Auction,08/14/2018,Regent Park,3,42.446131,-82.960823,"location
(42.446131, -82.960823)"
15645 Rossini Drive,21025014.,Own It Now,07/02/2018,Regent Park,3,42.444042,-82.959981,"location
(42.444042, -82.959981)"
15708 Eastburn,21025579.001,Auction,07/22/2018,Regent Park,3,42.445322,-82.958851,"location
(42.445322, -82.958851)"
15467 Cherrylawn,16033361.,Own It Now,05/07/2018,Fitzgerald/Marygrove,2,42.405337,-83.154735,"location
(42.405337, -83.154735)"
1708 Kendall,06004260.,Own It Now,06/04/2018,Oakman Blvd Community,2,42.400927,-83.115853,"location
(42.400927, -83.115853)"
8620 Roselawn,18014142.,Auction,08/09/2018,Barton-McFarland,6,42.358472,-83.149738,"location
(42.358472, -83.149738)"
12000 Gunston,21036434-6,Own It Now,06/25/2018,Gratiot-Findlay,4,42.414893,-82.999351,"location
(42.414893, -82.999351)"
700 W Brentwood,01006846.,Own It Now,07/23/2018,Grixdale Farms,2,42.431545,-83.112881,"location
(42.431545, -83.112881)"
2965 Clements,12004526.,Own It Now,07/30/2018,Oakman Blvd Community,2,42.392181,-83.126329,"location
(42.392181, -83.126329)"
10944 Wilshire,21008502.,Own It Now,07/23/2018,Wade,4,42.403992,-82.995157,"location
(42.403992, -82.995157)"
7715 Longacre,22070812.,Own It Now,07/16/2018,Warren Ave Community,7,42.348358,-83.214206,"location
(42.348358, -83.214206)"
4873 Grayton,21074231.,Auction,08/06/2018,East English Village,4,42.404405,-82.931873,"location
(42.404405, -82.931873)"
6515 Gladys,18003012.,Auction,07/27/2018,Claytown,6,42.338735,-83.1295,"location
(42.338735, -83.1295)"
6788 Minock,22090469.,Own It Now,01/29/2018,Warrendale,7,42.340846,-83.231254,"location
(42.340846, -83.231254)"
6417 Grandville,22089063.,Auction,07/27/2018,Warrendale,7,42.337617,-83.229411,"location
(42.337617, -83.229411)"
11711 Nardin,16018317.,Own It Now,07/23/2018,Nardin Park,7,42.374981,-83.136525,"location
(42.374981, -83.136525)"
5034 Radnor,21078239-43,Own It Now,03/12/2018,Cornerstone Village,4,42.410844,-82.918603,"location
(42.410844, -82.918603)"
6500 Ashton,22074667.,Auction,08/12/2018,Warrendale,7,42.33895,-83.216678,"location
(42.33895, -83.216678)"
6867 Greenview,22080714.,Auction,08/12/2018,Warrendale,7,42.342055,-83.222264,"location
(42.342055, -83.222264)"
18637 Greenview,22080221.,Auction,08/09/2018,Evergreen-Outer Drive,1,42.427392,-83.225658,"location
(42.427392, -83.225658)"
18944 Murray Hill,22060166.,Auction,08/08/2018,College Park,2,42.429128,-83.208138,"location
(42.429128, -83.208138)"
17163 Westphalia,21031961.,Own It Now,07/30/2018,Von Steuben,3,42.425135,-82.992478,"location
(42.425135, -82.992478)"
10266 Balfour,21067823.,Auction,07/31/2018,Yorkshire Woods,4,42.415902,-82.94763,"location
(42.415902, -82.94763)"
13219 Greiner,21020525.,Own It Now,07/23/2018,Franklin,3,42.427834,-82.989299,"location
(42.427834, -82.989299)"
12923 Forrer,22054588.,Auction,08/04/2018,Schoolcraft Southfield,1,42.384077,-83.201983,"location
(42.384077, -83.201983)"
4067 Tyler,14005255.,Own It Now,06/18/2018,Russell Woods,7,42.386751,-83.133678,"location
(42.386751, -83.133678)"
19947 Prairie,16023090.,Auction,07/28/2018,Garden Homes,2,42.439509,-83.146387,"location
(42.439509, -83.146387)"
13960 Pierson,22106382.,Own It Now,06/25/2018,Brightmoor,1,42.38706,-83.245106,"location
(42.38706, -83.245106)"
15893 Chatham,22117140.,Own It Now,09/25/2017,Brightmoor,1,42.406999,-83.263735,"location
(42.406999, -83.263735)"
8799 Desoto,16006398.,Own It Now,07/09/2018,Chalfonte,2,42.400849,-83.158425,"location
(42.400849, -83.158425)"
9560 Pinehurst,18017518.,Own It Now,11/27/2017,Barton-McFarland,7,42.366986,-83.165209,"location
(42.366986, -83.165209)"
2200 Elmhurst,08003578.,Own It Now,07/02/2018,Dexter-Linwood,5,42.387105,-83.109888,"location
(42.387105, -83.109888)"
15557 Wabash,08009058.,Own It Now,01/08/2018,Pilgrim Village,2,42.406377,-83.119354,"location
(42.406377, -83.119354)"
17871 Maine,09012665.,Own It Now,04/23/2018,Cadillac Heights,3,42.424403,-83.075684,"location
(42.424403, -83.075684)"
13532 Arlington,09013606.,Own It Now,06/11/2018,North Campau,3,42.413369,-83.07313,"location
(42.413369, -83.07313)"
18600 Marx,09017193.,Own It Now,05/29/2018,Northeast Central District,3,42.429677,-83.083589,"location
(42.429677, -83.083589)"
18931 Marx,09017473.,Own It Now,06/18/2018,Northeast Central District,3,42.432241,-83.084418,"location
(42.432241, -83.084418)"
18616 Riopelle,09018540.,Own It Now,07/30/2018,Hawthorne Park,3,42.429833,-83.086052,"location
(42.429833, -83.086052)"
18841 Cardoni,09021347.,Own It Now,07/02/2018,Hawthorne Park,3,42.43078,-83.091712,"location
(42.43078, -83.091712)"
2999 Lothrop,12001180.,Own It Now,07/16/2018,Wildemere Park,5,42.359483,-83.10512,"location
(42.359483, -83.10512)"
15910 Holmur,12012466.,Own It Now,07/23/2018,Pilgrim Village,2,42.409332,-83.137228,"location
(42.409332, -83.137228)"
3366 E Warren,13002727.,Own It Now,03/05/2018,McDougall-Hunt,5,42.368291,-83.032914,"location
(42.368291, -83.032914)"
19710 Gable,13012503.,Own It Now,05/14/2018,Farwell,3,42.440097,-83.042569,"location
(42.440097, -83.042569)"
19450 Conley,13016594-5,Own It Now,07/02/2018,Farwell,3,42.438103,-83.052518,"location
(42.438103, -83.052518)"
13409 Moenart,13016054.,Own It Now,07/23/2018,Davison,3,42.415527,-83.049903,"location
(42.415527, -83.049903)"
19202 Hasse,13018009.,Own It Now,07/30/2018,Farwell,3,42.4348,-83.056572,"location
(42.4348, -83.056572)"
19399 Eureka,13018570-1,Own It Now,04/16/2018,Farwell,3,42.437229,-83.058251,"location
(42.437229, -83.058251)"
19688 Justine,13018855.,Own It Now,05/29/2018,Farwell,3,42.439455,-83.058819,"location
(42.439455, -83.058819)"
20046 Gallagher,13023238.,Auction,07/28/2018,Butler,3,42.442497,-83.070507,"location
(42.442497, -83.070507)"
4664 Seebaldt,14001857.,Own It Now,10/23/2017,Midwest,6,42.355176,-83.120133,"location
(42.355176, -83.120133)"
4635 Lovett,14010800.,Own It Now,11/27/2017,Chadsey Condon,6,42.339511,-83.109301,"location
(42.339511, -83.109301)"
19212 Concord,15011172.,Own It Now,03/26/2018,Nortown,3,42.435463,-83.03259,"location
(42.435463, -83.03259)"
12667 Kentucky,16037195.,Own It Now,06/25/2018,Littlefield Community,7,42.381796,-83.158121,"location
(42.381796, -83.158121)"
8108 Willard,17000617.,Own It Now,04/09/2018,Gratiot-Grand,5,42.374837,-83.010219,"location
(42.374837, -83.010219)"
5446 Parker,17008900.,Own It Now,07/23/2018,Gratiot Town/Ketterring,5,42.380571,-83.014393,"location
(42.380571, -83.014393)"
11311 Manor,18018337.,Own It Now,07/16/2018,Barton-McFarland,7,42.37129,-83.167216,"location
(42.37129, -83.167216)"
10440 Sterritt,19002060.,Own It Now,07/16/2018,Airport Sub,3,42.395098,-83.000178,"location
(42.395098, -83.000178)"
10369 Sterritt,19002101-2,Own It Now,06/25/2018,Airport Sub,3,42.395575,-83.000919,"location
(42.395575, -83.000919)"
9675 Woodlawn,19003082.,Own It Now,04/16/2018,Airport Sub,3,42.399807,-83.00702,"location
(42.399807, -83.00702)"
1401 Annabelle,20012871.048,Own It Now,07/30/2018,Boynton,6,42.277739,-83.147691,"location
(42.277739, -83.147691)"
13445 Wade,21006349.,Own It Now,04/23/2018,Outer Drive-Hayes,4,42.407086,-82.969556,"location
(42.407086, -82.969556)"
12575 Elmdale,21007370.,Own It Now,11/27/2017,Wade,4,42.406236,-82.980554,"location
(42.406236, -82.980554)"
12520 Kilbourne,21009975.,Own It Now,07/23/2018,Eden Gardens,4,42.411853,-82.985254,"location
(42.411853, -82.985254)"
12092 Nashville,21013646.,Own It Now,07/16/2018,LaSalle College Park,4,42.418517,-82.995905,"location
(42.418517, -82.995905)"
19311 Goulburn,21032357.,Own It Now,07/30/2018,Pulaski,3,42.436761,-82.994098,"location
(42.436761, -82.994098)"
18509 Goulburn,21032403.,Own It Now,04/30/2018,Von Steuben,3,42.430837,-82.993839,"location
(42.430837, -82.993839)"
19195 Dresden,21034892.,Own It Now,07/30/2018,Pulaski,3,42.436008,-83.000181,"location
(42.436008, -83.000181)"
20051 Annott,21035565.,Own It Now,07/02/2018,Conner Creek,3,42.44433,-83.002959,"location
(42.44433, -83.002959)"
5556 Lakeview,21052389.,Own It Now,06/18/2018,Chandler Park,4,42.39805,-82.965756,"location
(42.39805, -82.965756)"
5258 Newport,21053942.,Own It Now,06/11/2018,Chandler Park,4,42.397274,-82.962298,"location
(42.397274, -82.962298)"
4810 Lakepointe,21064621.,Own It Now,07/02/2018,Morningside,4,42.396794,-82.950053,"location
(42.396794, -82.950053)"
4382 Nottingham,21066412.,Own It Now,04/23/2018,Morningside,4,42.395392,-82.945992,"location
(42.395392, -82.945992)"
11500 Nottingham,21066652.,Own It Now,11/20/2017,Moross-Morang,4,42.425688,-82.942977,"location
(42.425688, -82.942977)"
4870 Lodewyck,21077784.,Own It Now,03/26/2018,Cornerstone Village,4,42.40885,-82.919608,"location
(42.40885, -82.919608)"
5959 Radnor,21078376.,Own It Now,01/15/2018,Cornerstone Village,4,42.417456,-82.923729,"location
(42.417456, -82.923729)"
15081 Strathmoor,22038371.,Own It Now,01/08/2018,Bethune Community,1,42.400824,-83.188056,"location
(42.400824, -83.188056)"
8056 Hubbell,22038685-6,Own It Now,07/23/2018,Joy-Schaefer,7,42.351963,-83.186582,"location
(42.351963, -83.186582)"
13360 Hubbell,22038924.,Own It Now,05/21/2018,Schoolcraft Southfield,1,42.386352,-83.188084,"location
(42.386352, -83.188084)"
13305 Hubbell,22040116.,Own It Now,07/23/2018,Schoolcraft Southfield,1,42.385556,-83.188678,"location
(42.385556, -83.188678)"
14483 Robson,22044282.,Own It Now,03/19/2018,Hubbell-Lyndon,1,42.39421,-83.192826,"location
(42.39421, -83.192826)"
9980 Coyle,22044724.,Own It Now,11/27/2017,Plymouth-Hubbell,7,42.369138,-83.192742,"location
(42.369138, -83.192742)"
9577 Forrer,22054707.,Own It Now,07/02/2018,Joy Community,7,42.366466,-83.201271,"location
(42.366466, -83.201271)"
19510 Mansfield,22057485.,Own It Now,07/23/2018,Greenfield,2,42.435552,-83.206173,"location
(42.435552, -83.206173)"
6856 Mettetal,22059568.,Auction,08/13/2018,Warren Ave Community,7,42.342186,-83.204458,"location
(42.342186, -83.204458)"
9060 Auburn,22092296.,Own It Now,11/06/2017,Franklin Park,7,42.360296,-83.233205,"location
(42.360296, -83.233205)"
6831 Auburn,22092989-90,Own It Now,01/29/2018,Warrendale,7,42.341371,-83.233152,"location
(42.341371, -83.233152)"
9220 Woodhall,21075986.,Own It Now,02/05/2018,Yorkshire Woods,4,42.419745,-82.936208,"location
(42.419745, -82.936208)"
5063 Mcclellan,19007141.,Own It Now,11/13/2017,Gratiot Woods,5,42.381532,-83.001203,"location
(42.381532, -83.001203)"
15682 Maddelein,21021365.,Own It Now,01/15/2018,Regent Park,3,42.436209,-82.959016,"location
(42.436209, -82.959016)"
17875 Yonka,13022049-50,Own It Now,07/23/2018,Davison,3,42.425019,-83.065919,"location
(42.425019, -83.065919)"
11869 College,21013629.,Own It Now,07/23/2018,LaSalle College Park,4,42.417419,-82.997723,"location
(42.417419, -82.997723)"
5972 Pennsylvania,19005789.,Own It Now,05/21/2018,West End,4,42.390537,-83.003399,"location
(42.390537, -83.003399)"
19487 Stotter,15005853.,Own It Now,07/23/2018,Nortown,3,42.438612,-83.025752,"location
(42.438612, -83.025752)"
9575 Sorrento,22024368.,Own It Now,07/30/2018,Barton-McFarland,7,42.367052,-83.171984,"location
(42.367052, -83.171984)"
20213 Barlow,21033287-8,Own It Now,11/20/2017,Conner Creek,3,42.445724,-82.996866,"location
(42.445724, -82.996866)"
14260 Lamphere,22116174.,Own It Now,06/25/2018,Eliza Howell,1,42.390483,-83.261076,"location
(42.390483, -83.261076)"
9602 Vaughan,22097500.,Own It Now,07/16/2018,Franklin Park,7,42.366237,-83.236946,"location
(42.366237, -83.236946)"
9247 Steel,22023164.,Own It Now,07/09/2018,Barton-McFarland,7,42.363111,-83.170662,"location
(42.363111, -83.170662)"
16100 Bramell,22117688.,Own It Now,07/09/2018,Riverdale,1,42.407994,-83.264374,"location
(42.407994, -83.264374)"
12731 Birwood,16042702.,Own It Now,06/11/2018,Grand River-I96,7,42.382533,-83.163467,"location
(42.382533, -83.163467)"
19360 Albion,17014271.,Own It Now,01/15/2018,Pulaski,3,42.43737,-83.005579,"location
(42.43737, -83.005579)"
19307 Fenmore,22072582.,Own It Now,07/23/2018,Greenfield,2,42.432087,-83.218655,"location
(42.432087, -83.218655)"
