Address,Parcel ID,Program,Listing Date,Neighborhood,Council District,Latitude,Longitude,Location
19313 Hoyt,21029318.,Own It Now,07/30/2018,Franklin,3,42.437314,-82.980859,"location
(42.437314, -82.980859)"
12040 Dresden,21034574.,Own It Now,07/30/2018,Gratiot-Findlay,4,42.417668,-82.993023,"location
(42.417668, -82.993023)"
4418 French Rd,21040114.,Own It Now,07/02/2018,East Canfield,4,42.380992,-82.987562,"location
(42.380992, -82.987562)"
11044 Whitehill,21058143.,Own It Now,04/09/2018,Outer Drive-Hayes,4,42.417698,-82.957867,"location
(42.417698, -82.957867)"
5034 Philip,21060272.,Own It Now,07/02/2018,Chandler Park-Chalmers,4,42.396823,-82.956974,"location
(42.396823, -82.956974)"
5741 Maryland,21064352.,Own It Now,07/02/2018,Morningside,4,42.403112,-82.956496,"location
(42.403112, -82.956496)"
15452 Freeland,22035649.,Own It Now,04/30/2018,Bethune Community,1,42.404538,-83.185329,"location
(42.404538, -83.185329)"
9606 Mark Twain,22036534.,Own It Now,07/23/2018,Plymouth-Hubbell,7,42.3672,-83.184753,"location
(42.3672, -83.184753)"
12949 Penrod,22077985.,Auction,07/25/2018,Schoolcraft Southfield,1,42.384067,-83.221284,"location
(42.384067, -83.221284)"
16840 Greydale,22112699.,Auction,08/02/2018,Miller Grove,1,42.413293,-83.25582,"location
(42.413293, -83.25582)"
5360 Burns,17006321.,Auction,07/31/2018,Pingree Park,5,42.381638,-83.008814,"location
(42.381638, -83.008814)"
14406 Rutherford,22055938.,Auction,08/05/2018,Greenfield-Grand River,1,42.3932,-83.20347,"location
(42.3932, -83.20347)"
10536 Nottingham,21066595.,Auction,08/01/2018,Yorkshire Woods,4,42.417697,-82.949138,"location
(42.417697, -82.949138)"
16505 Indiana,16036028.,Auction,08/08/2018,Fitzgerald/Marygrove,2,42.412281,-83.158238,"location
(42.412281, -83.158238)"
16076 Ellsworth,22010564.,Auction,08/05/2018,Grand River-St Marys,1,42.400542,-83.206361,"location
(42.400542, -83.206361)"
20140 Anglin,13024297.,Own It Now,07/02/2018,Butler,3,42.443284,-83.074778,"location
(42.443284, -83.074778)"
4254 Tyler,14005303.,Own It Now,07/23/2018,Russell Woods,7,42.38653,-83.135612,"location
(42.38653, -83.135612)"
4225 W Davison,14005428.,Own It Now,07/30/2018,Russell Woods,7,42.387632,-83.135762,"location
(42.387632, -83.135762)"
19367 Carrie,15008456.,Own It Now,12/11/2017,Nortown,3,42.436858,-83.031161,"location
(42.436858, -83.031161)"
20174 Concord,15011242.,Own It Now,04/30/2018,Sherwood,3,42.44458,-83.032853,"location
(42.44458, -83.032853)"
18075 Roselawn,16030707.,Auction,07/26/2018,Bagley,2,42.423573,-83.153035,"location
(42.423573, -83.153035)"
18115 Cherrylawn,16033234.,Auction,08/11/2018,Bagley,2,42.424094,-83.155512,"location
(42.424094, -83.155512)"
8280 Normile,18016427.,Auction,08/14/2018,Aviation Sub,7,42.355307,-83.158497,"location
(42.355307, -83.158497)"
9153 Chamberlain,20002385.,Auction,08/10/2018,Springwells,6,42.299735,-83.131078,"location
(42.299735, -83.131078)"
15645 Manning,21023383.,Auction,08/07/2018,Regent Park,3,42.441203,-82.95992,"location
(42.441203, -82.95992)"
12784 Payton,21057490.003,Auction,08/11/2018,Moross-Morang,4,42.431351,-82.953762,"location
(42.431351, -82.953762)"
9221 Kensington,21072918.,Auction,08/02/2018,Yorkshire Woods,4,42.414731,-82.944025,"location
(42.414731, -82.944025)"
8001 Hartwell,22029518.,Auction,08/11/2018,Joy-Schaefer,7,42.351459,-83.176347,"location
(42.351459, -83.176347)"
18452 Greenfield,22050200.,Auction,08/13/2018,Winship,2,42.425739,-83.199297,"location
(42.425739, -83.199297)"
6225 Stahelin,22084073.,Own It Now,07/23/2018,Warrendale,7,42.334985,-83.22434,"location
(42.334985, -83.22434)"
17513 Trinity,22108696.,Own It Now,05/07/2018,Holcomb Community,1,42.419183,-83.249504,"location
(42.419183, -83.249504)"
16911 Burgess,22112267.,Auction,07/26/2018,Miller Grove,1,42.414266,-83.255358,"location
(42.414266, -83.255358)"
19204 Concord,15011171.,Own It Now,01/08/2018,Nortown,3,42.435346,-83.032585,"location
(42.435346, -83.032585)"
20003 Westphalia,21031804-5,Own It Now,07/23/2018,Conner Creek,3,42.44395,-82.993152,"location
(42.44395, -82.993152)"
15846 Fordham,21019674.,Own It Now,07/16/2018,Mapleridge,4,42.43451,-82.957227,"location
(42.43451, -82.957227)"
2201 Labelle,08004840.,Own It Now,11/20/2017,Oakman Blvd Community,2,42.39865,-83.118533,"location
(42.39865, -83.118533)"
1410 Liebold,20014281.,Own It Now,06/04/2018,Boynton,6,42.278712,-83.150098,"location
(42.278712, -83.150098)"
9262 Mendota,18017156.,Auction,08/01/2018,Barton-McFarland,7,42.363431,-83.163891,"location
(42.363431, -83.163891)"
11366 Meyers,18018693.,Own It Now,04/23/2018,Barton-McFarland,7,42.372046,-83.167731,"location
(42.372046, -83.167731)"
14445 Cruse,22034438.,Own It Now,07/02/2018,Grand River-I96,7,42.394572,-83.183428,"location
(42.394572, -83.183428)"
9326 Plainview,22093760.,Own It Now,06/04/2018,Franklin Park,7,42.363352,-83.234428,"location
(42.363352, -83.234428)"
8910 Vaughan,22097443.,Own It Now,04/23/2018,Franklin Park,7,42.359208,-83.236864,"location
(42.359208, -83.236864)"
19608 Charest,13023521.,Own It Now,07/23/2018,Pershing,3,42.4381,-83.071221,"location
(42.4381, -83.071221)"
965 E Golden Gate,09007212.,Own It Now,03/05/2018,Hawthorne Park,3,42.429577,-83.093198,"location
(42.429577, -83.093198)"
980 E Greendale,09007020.,Own It Now,03/05/2018,Hawthorne Park,3,42.426966,-83.092709,"location
(42.426966, -83.092709)"
19426 Omira,09022759.,Own It Now,10/23/2017,Nolan,3,42.436837,-83.095778,"location
(42.436837, -83.095778)"
4412 Seyburn,17010718.,Own It Now,04/02/2018,Gratiot-Grand,5,42.371787,-83.010676,"location
(42.371787, -83.010676)"
3958 Sheridan,17012797.,Own It Now,04/02/2018,Gratiot-Grand,5,42.368431,-83.012538,"location
(42.368431, -83.012538)"
11232 Minden,21013378.,Own It Now,07/09/2018,Gratiot-Findlay,4,42.413385,-83.004763,"location
(42.413385, -83.004763)"
17700 Rowe,21035745.,Own It Now,07/09/2018,Von Steuben,3,42.425307,-83.002753,"location
(42.425307, -83.002753)"
11136 Rosemary,21009610.,Own It Now,05/14/2018,Gratiot-Findlay,4,42.407209,-82.997001,"location
(42.407209, -82.997001)"
14524 Manning,21023158.,Own It Now,02/12/2018,Regent Park,3,42.440574,-82.972957,"location
(42.440574, -82.972957)"
4700 Chatsworth,21068920.,Own It Now,01/15/2018,Morningside,4,42.398344,-82.944112,"location
(42.398344, -82.944112)"
3000 Grand,12004678.,Own It Now,07/09/2018,Oakman Blvd Community,2,42.393166,-83.127718,"location
(42.393166, -83.127718)"
2489 Hazelwood,10002181.,Own It Now,04/09/2018,North LaSalle,5,42.371673,-83.105978,"location
(42.371673, -83.105978)"
5215 Manistique,21061473.,Own It Now,09/25/2017,Chandler Park-Chalmers,4,42.39842,-82.957355,"location
(42.39842, -82.957355)"
7700 Auburn,22092209.,Own It Now,04/09/2018,Warrendale,7,42.348257,-83.232758,"location
(42.348257, -83.232758)"
2324 Ford,08004784.,Own It Now,07/09/2018,Oakman Blvd Community,2,42.397599,-83.120365,"location
(42.397599, -83.120365)"
4576 Woodhall,21075889.,Auction,08/06/2018,Cornerstone Village,4,42.405279,-82.924317,"location
(42.405279, -82.924317)"
15755 Northlawn,16032314.,Own It Now,06/11/2018,Fitzgerald/Marygrove,2,42.406982,-83.153788,"location
(42.406982, -83.153788)"
12011 Evergreen,22096685.,Own It Now,07/09/2018,Weatherby,7,42.374304,-83.236713,"location
(42.374304, -83.236713)"
14040 Glastonbury,22081921.,Auction,08/13/2018,Grandmont #1,1,42.388551,-83.224453,"location
(42.388551, -83.224453)"
4310 Waverly,14005407.,Auction,08/04/2018,Russell Woods,7,42.386866,-83.136993,"location
(42.386866, -83.136993)"
16241 Eastburn,21025879.,Auction,08/06/2018,Regent Park,3,42.445934,-82.952724,"location
(42.445934, -82.952724)"
16053 Eastburn,21025863.,Auction,08/04/2018,Regent Park,3,42.445893,-82.955028,"location
(42.445893, -82.955028)"
14560 Asbury Park,22061340.,Rehabbed and Ready,07/06/2018,Greenfield-Grand River,1,42.395009,-83.207844,"location
(42.395009, -83.207844)"
6751 Montrose,22053504.,Auction,08/12/2018,Warren Ave Community,7,42.340819,-83.198907,"location
(42.340819, -83.198907)"
5118 Garvin,13006646.,Auction,08/06/2018,Buffalo Charles,3,42.410741,-83.050148,"location
(42.410741, -83.050148)"
12133 Plainview,22094559.,Own It Now,07/09/2018,Weatherby,7,42.376016,-83.235489,"location
(42.376016, -83.235489)"
12088 Rosemont,22076345.,Auction,08/13/2018,Southfield Plymouth,7,42.375696,-83.219033,"location
(42.375696, -83.219033)"
18455 Revere,13022742.,Auction,07/25/2018,Conant Gardens,3,42.428118,-83.067943,"location
(42.428118, -83.067943)"
17373 Griggs,16041531.,Auction,08/09/2018,Schulze,2,42.419711,-83.164043,"location
(42.419711, -83.164043)"
13501 Stahelin,22083753.,Auction,08/10/2018,Schoolcraft Southfield,1,42.384294,-83.226251,"location
(42.384294, -83.226251)"
18450 Norwood,13022099.,Own It Now,02/26/2018,Conant Gardens,3,42.428069,-83.066767,"location
(42.428069, -83.066767)"
18403 Steel,22022753.,Auction,08/09/2018,Schulze,2,42.425921,-83.173135,"location
(42.425921, -83.173135)"
7349 Churchill,08005752.,Auction,07/31/2018,Henry Ford,5,42.36478,-83.090635,"location
(42.36478, -83.090635)"
19030 Charest,13023466.,Own It Now,06/25/2018,Conant Gardens,3,42.432539,-83.070613,"location
(42.432539, -83.070613)"
18453 Monica,16021649.,Auction,08/10/2018,Bagley,2,42.426953,-83.144815,"location
(42.426953, -83.144815)"
9132 Woodhall,21075969-74,Auction,08/07/2018,Yorkshire Woods,4,42.419187,-82.934846,"location
(42.419187, -82.934846)"
9181 Woodhall,21075997.,Auction,08/10/2018,Yorkshire Woods,4,42.419087,-82.935938,"location
(42.419087, -82.935938)"
8461 E Outer Drive,21080800.,Auction,08/03/2018,Eden Gardens,4,42.409231,-82.988568,"location
(42.409231, -82.988568)"
20166 Kentucky,16036740.,Auction,07/30/2018,Garden Homes,2,42.441933,-83.159967,"location
(42.441933, -83.159967)"
19965 Northlawn,16032109.,Auction,07/30/2018,Garden Homes,2,42.439571,-83.154899,"location
(42.439571, -83.154899)"
20164 Mendota,16043138.,Own It Now,05/07/2018,Pembroke,2,42.441761,-83.166437,"location
(42.441761, -83.166437)"
1859 E Grand Blvd,13003556.,Own It Now,07/30/2018,Poletown East,5,42.374313,-83.037222,"location
(42.374313, -83.037222)"
1761 E Grand Blvd,13003533.,Own It Now,07/09/2018,Poletown East,5,42.375536,-83.033972,"location
(42.375536, -83.033972)"
15754 Evergreen,22095655.,Auction,08/03/2018,Minock Park,1,42.405511,-83.237246,"location
(42.405511, -83.237246)"
15411 Minock,22091226.,Auction,07/30/2018,Minock Park,1,42.402316,-83.234146,"location
(42.402316, -83.234146)"
13961 Auburn,22092704.,Auction,08/04/2018,Westwood Park,1,42.387283,-83.234802,"location
(42.387283, -83.234802)"
12821 14th St,08009375.,Own It Now,06/25/2018,Dexter-Linwood,5,42.392478,-83.114477,"location
(42.392478, -83.114477)"
15606 Baylis,08009986.,Own It Now,06/04/2018,Pilgrim Village,2,42.406942,-83.123469,"location
(42.406942, -83.123469)"
13880 Maine,09012399.,Own It Now,05/29/2018,North Campau,3,42.415662,-83.072479,"location
(42.415662, -83.072479)"
18855 Goddard,09014211.,Own It Now,07/16/2018,Northeast Central District,3,42.43131,-83.078496,"location
(42.43131, -83.078496)"
18034 Russell,09020618.,Own It Now,09/18/2017,Hawthorne Park,3,42.425621,-83.089529,"location
(42.425621, -83.089529)"
